review_id,restaurant_name,city,food_name,category,price,portion_size,rating_overall,rating_taste,rating_packaging,rating_delivery,review_text,image_name,sentiment_label
2824,Curry Kingdom,Semarang,Burger,Fast Food,22280,Small,4,4,5,4.0,"Makanannya enak banget, bakal order lagi.",img_001.jpg,positive
4257,Curry Kingdom,Solo,Biryani,Indian,30379,Medium,3,3,4,4.0,Tidak buruk tapi tidak spesial juga.,img_021.jpg,neutral
7224,Kopi Santai,Depok,Pizza,Fast Food,82357,Large,4,5,4,5.0,"Makanannya enak banget, bakal order lagi.",img_004.jpg,positive
6925,Sushi Mori,Yogyakarta,Donat,Dessert,46434,Small,4,3,3,3.0,Standar aja menurutku.,img_019.jpg,neutral
6820,Sushi Mori,Semarang,Udon,Japanese,93886,Large,3,3,4,4.0,Tidak buruk tapi tidak spesial juga.,img_007.jpg,neutral
1916,Kopi Santai,Jakarta,Rendang,Indonesian,94259,Medium,4,5,4,5.0,Enak pol! Pengiriman juga cepat.,img_008.jpg,positive
9830,Kedai Soto Ibu Rina,Solo,Nasi Goreng,Indonesian,30033,Medium,4,5,4,4.0,"Makanannya enak banget, bakal order lagi.",img_009.jpg,positive
2040,Kedai Soto Ibu Rina,Solo,Es Teh,Beverage,48469,Medium,3,3,4,4.0,Rasanya biasa aja sih.,img_013.jpg,neutral
5315,Ramen House,Surabaya,Brownies,Dessert,80697,Small,2,1,1,2.0,Datangnya lama dan rasanya kurang enak.,img_017.jpg,negative
6310,Sushi Mori,Jakarta,Ice Cream,Dessert,20322,Medium,2,1,1,1.0,Kapok pesan di sini.,img_016.jpg,negative
9727,Taco Fiesta,Surabaya,Ramen,Japanese,98039,Large,5,4,4,5.0,Enak pol! Pengiriman juga cepat.,img_005.jpg,positive
2982,Sushi Mori,Yogyakarta,Rendang,Indonesian,40007,Medium,4,4,4,4.0,"Makanannya enak banget, bakal order lagi.",img_008.jpg,positive
9423,Taco Fiesta,Semarang,Rendang,Indonesian,22363,Small,4,3,4,4.0,Lumayan lah untuk harga segitu.,img_008.jpg,neutral
8651,Dapur Nusantara,Bandung,Fried Chicken,Fast Food,68800,Medium,1,1,1,1.0,Kapok pesan di sini.,img_002.jpg,negative
2235,Dapur Nusantara,Bandung,Milkshake,Beverage,73653,Large,1,1,1,1.0,Packingnya berantakan dan rasanya aneh.,img_015.jpg,negative
3697,Grill Master,Jakarta,Es Teh,Beverage,34890,Medium,2,2,2,2.0,Datangnya lama dan rasanya kurang enak.,img_013.jpg,negative
9883,Dapur Nusantara,Depok,Fried Chicken,Fast Food,87992,Small,3,3,3,3.0,Rasanya biasa aja sih.,img_002.jpg,neutral
5033,Kedai Soto Ibu Rina,Jakarta,Donat,Dessert,44814,Small,5,5,4,5.0,"Rasanya juara sih ini, recommended banget.",img_019.jpg,positive
6180,Taco Fiesta,Jakarta,Hot Dog,Fast Food,55745,Large,1,1,1,2.0,Datangnya lama dan rasanya kurang enak.,img_003.jpg,negative
3584,Kedai Soto Ibu Rina,Semarang,Milkshake,Beverage,24029,Large,4,3,3,4.0,Rasanya biasa aja sih.,img_015.jpg,neutral
4450,Bakso Legend,Yogyakarta,Bakso,Indonesian,10464,Large,4,4,5,5.0,"Makanannya enak banget, bakal order lagi.",img_011.jpg,positive
3647,Ramen House,Solo,Milkshake,Beverage,26704,Small,4,4,5,4.0,Enak pol! Pengiriman juga cepat.,img_015.jpg,positive
1653,Curry Kingdom,Yogyakarta,Kopi Susu,Beverage,64040,Large,5,4,4,4.0,"Rasanya juara sih ini, recommended banget.",img_012.jpg,positive
7745,Burger Hub,Semarang,Rendang,Indonesian,55830,Large,4,5,4,4.0,Enak pol! Pengiriman juga cepat.,img_008.jpg,positive
1387,Kopi Santai,Solo,Udon,Japanese,25118,Medium,2,2,2,2.0,"Rasanya hambar banget, kecewa.",img_007.jpg,negative
5349,Kedai Soto Ibu Rina,Bandung,Fried Chicken,Fast Food,34914,Medium,5,5,4,,Suka banget sama rasanya.,img_002.jpg,positive
